codepoint,status,emoji,name,group,sub_group
1F6B4 200D 2642,minimally-qualified,🚴‍♂,man biking,People & Body,person-sport
1F6B4 1F3FB 200D 2642 FE0F,fully-qualified,🚴🏻‍♂️,man biking: light skin tone,People & Body,person-sport
1F6B4 1F3FB 200D 2642,minimally-qualified,🚴🏻‍♂,man biking: light skin tone,People & Body,person-sport
1F6B4 1F3FC 200D 2642 FE0F,fully-qualified,🚴🏼‍♂️,man biking: medium-light skin tone,People & Body,person-sport
1F6B4 1F3FC 200D 2642,minimally-qualified,🚴🏼‍♂,man biking: medium-light skin tone,People & Body,person-sport
1F6B4 1F3FD 200D 2642 FE0F,fully-qualified,🚴🏽‍♂️,man biking: medium skin tone,People & Body,person-sport
1F6B4 1F3FD 200D 2642,minimally-qualified,🚴🏽‍♂,man biking: medium skin tone,People & Body,person-sport
1F6B4 1F3FE 200D 2642 FE0F,fully-qualified,🚴🏾‍♂️,man biking: medium-dark skin tone,People & Body,person-sport
1F6B4 1F3FE 200D 2642,minimally-qualified,🚴🏾‍♂,man biking: medium-dark skin tone,People & Body,person-sport
1F6B4 1F3FF 200D 2642 FE0F,fully-qualified,🚴🏿‍♂️,man biking: dark skin tone,People & Body,person-sport
1F6B4 1F3FF 200D 2642,minimally-qualified,🚴🏿‍♂,man biking: dark skin tone,People & Body,person-sport
1F6B4 200D 2640 FE0F,fully-qualified,🚴‍♀️,woman biking,People & Body,person-sport
1F6B4 200D 2640,minimally-qualified,🚴‍♀,woman biking,People & Body,person-sport
1F6B4 1F3FB 200D 2640 FE0F,fully-qualified,🚴🏻‍♀️,woman biking: light skin tone,People & Body,person-sport
1F6B4 1F3FB 200D 2640,minimally-qualified,🚴🏻‍♀,woman biking: light skin tone,People & Body,person-sport
1F6B4 1F3FC 200D 2640 FE0F,fully-qualified,🚴🏼‍♀️,woman biking: medium-light skin tone,People & Body,person-sport
1F6B4 1F3FC 200D 2640,minimally-qualified,🚴🏼‍♀,woman biking: medium-light skin tone,People & Body,person-sport
